trial_id,creation_date,start_date,completion_date,state,dev_test_combo,iterations,coord_interval,influence_tuning_batch_size,influence_tuning_epochs,influence_tuning_lr,num_train_epochs,seed
p3bxabt2hb,2021-05-12 22:37:25.106438,2021-05-12 22:37:26.000000,,RUNNING,,,50,64,10,0.000003,20,2022
978apk7d3q,2021-05-12 22:37:24.532552,2021-05-12 22:37:25.000000,,RUNNING,,,50,64,10,0.00003,20,2022
e2xng3iu4f,2021-05-12 01:42:54.643451,2021-05-12 01:43:07.000000,2021-05-12 22:36:42.765857,COMPLETED,71666.728,,25,16,10,0.000001,20,2024
c9zzpp4tfd,2021-05-12 12:27:17.051910,2021-05-12 12:27:42.000000,2021-05-12 22:36:07.415156,COMPLETED,50000.5,,50,16,10,0.00003,20,2021
kzpttqdxw9,2021-05-12 17:15:01.825062,2021-05-12 17:15:15.000000,2021-05-12 22:16:16.054069,COMPLETED,74791.754,,50,64,10,0.000001,10,2025
pykv9pzxqw,2021-05-12 21:55:27.947388,2021-05-12 21:55:31.000000,,RUNNING,,,25,4,10,0.000001,10,2025
tst5gnfnz5,2021-05-12 10:57:15.517320,2021-05-12 10:57:18.000000,2021-05-12 21:54:15.579263,COMPLETED,78958.784,,25,64,5,0.00001,20,2025
eqjue3s6id,2021-05-12 21:48:27.274837,2021-05-12 21:48:30.000000,,RUNNING,,,25,4,5,0.000003,20,2022
23spadwcem,2021-05-12 21:48:26.609616,2021-05-12 21:48:30.000000,,RUNNING,,,25,64,10,0.000003,20,2022
g9727itqhr,2021-05-12 19:10:39.658601,2021-05-12 19:10:46.000000,2021-05-12 21:48:40.471948,COMPLETED,78125.778,,50,16,5,0.000003,10,2023
v8v4y7bahm,2021-05-12 11:43:58.593127,2021-05-12 11:44:07.000000,2021-05-12 21:47:39.377689,COMPLETED,75208.752,,50,64,10,0.000003,20,2024
663ggvgesp,2021-05-12 11:41:36.702687,2021-05-12 11:41:57.000000,2021-05-12 21:47:37.879377,COMPLETED,79375.762,,25,4,10,0.000003,10,2022
9and44f7n5,2021-05-12 21:40:17.803274,2021-05-13 01:28:49.000000,,RUNNING,,,25,4,5,0.000003,20,2021
4b4hxectxp,2021-05-12 10:51:21.221477,2021-05-12 10:51:38.000000,2021-05-12 21:39:20.343021,COMPLETED,80208.816,,25,16,5,0.00001,20,2023
7asjzbf2it,2021-05-12 21:34:25.605839,2021-05-12 21:53:56.000000,,RUNNING,,,25,4,10,0.000001,20,2023
nwv38eix3n,2021-05-12 11:18:18.666274,2021-05-12 11:18:32.000000,2021-05-12 21:33:51.637766,COMPLETED,50000.5,,25,64,10,0.00003,10,2023
4fmqw2faqq,2021-05-12 11:12:25.231343,2021-05-12 11:12:38.000000,2021-05-12 21:31:56.995917,COMPLETED,77291.796,,25,64,5,0.00001,20,2022
zisfiqvzu3,2021-05-12 21:15:39.686943,2021-05-12 23:07:35.000000,,RUNNING,,,25,16,5,0.00003,20,2025
s3w6grjxas,2021-05-12 09:14:38.747125,2021-05-12 09:42:41.000000,2021-05-12 21:14:59.143305,COMPLETED,72708.704,,25,16,5,0.000001,20,2023
y8ji5h5bt3,2021-05-12 15:55:52.293162,2021-05-12 15:56:12.000000,2021-05-12 21:01:28.808238,COMPLETED,82291.81,,25,64,5,0.00001,10,2024
kscqmeevu3,2021-05-12 20:44:09.763085,2021-05-13 01:59:15.000000,,RUNNING,,,50,4,10,0.00001,20,2024
itqat7tyf5,2021-05-12 18:01:32.265211,2021-05-12 18:01:51.000000,2021-05-12 20:43:47.082962,COMPLETED,75625.774,,50,64,5,0.000003,10,2025
zzcqq8eyqe,2021-05-12 17:51:01.225287,2021-05-12 17:51:02.000000,2021-05-12 20:33:33.524421,COMPLETED,78958.776,,50,64,5,0.000003,10,2023
tbx5wd78v2,2021-05-12 20:26:31.036316,2021-05-13 00:29:20.000000,,RUNNING,,,50,4,10,0.000001,20,2023
bk6jwmp4gq,2021-05-12 15:25:38.660740,2021-05-12 15:25:41.000000,2021-05-12 20:25:38.239933,COMPLETED,50000.5,,25,4,5,0.00001,10,2023
mtwbzh683a,2021-05-12 09:35:35.638470,2021-05-12 09:42:17.000000,2021-05-12 20:19:37.124440,COMPLETED,50000.5,,25,4,5,0.00003,20,2022
sutxp5289s,2021-05-12 20:01:56.258356,2021-05-12 20:02:34.000000,,RUNNING,,,50,16,10,0.000001,20,2022
vpaiadeky4,2021-05-12 14:58:57.172890,2021-05-12 14:59:11.000000,2021-05-12 20:01:47.183786,COMPLETED,77916.796,,50,16,10,0.000003,10,2024
e3mym5jhmg,2021-05-12 13:57:19.233649,2021-05-12 13:57:34.000000,2021-05-12 19:09:36.286538,COMPLETED,50000.5,,25,64,5,0.00003,10,2024
b74wts48h8,2021-05-12 13:25:53.556904,2021-05-12 13:26:14.000000,2021-05-12 18:55:40.185132,COMPLETED,74166.73,,50,4,10,0.000001,10,2023
9d25tyw47c,2021-05-11 21:03:16.599591,2021-05-11 21:03:51.000000,2021-05-12 18:30:00.951279,COMPLETED,50000.5,,25,16,10,0.00003,20,2023
6p2zfvt8p8,2021-05-12 07:17:20.303605,2021-05-12 07:17:33.000000,2021-05-12 18:17:25.145151,COMPLETED,78750.764,,25,64,5,0.000001,20,2022
rf7d7skrx4,2021-05-12 18:13:18.710292,2021-05-12 18:13:47.000000,,RUNNING,,,25,64,10,0.00001,20,2025
jrfhtezh5z,2021-05-12 12:43:45.010677,2021-05-12 12:44:05.000000,2021-05-12 18:13:25.464083,COMPLETED,81250.798,,25,4,5,0.00001,10,2024
xs569euppi,2021-05-12 15:34:56.163620,2021-05-12 15:35:05.000000,2021-05-12 18:12:52.134197,COMPLETED,73333.726,,50,64,5,0.000003,10,2024
knpxeghm3b,2021-05-12 07:45:01.975287,2021-05-12 07:45:25.000000,2021-05-12 18:11:18.433559,COMPLETED,50000.5,,50,16,10,0.00003,20,2023
3jb6h7zyty,2021-05-12 07:30:09.449093,2021-05-12 07:30:22.000000,2021-05-12 18:10:19.974993,COMPLETED,77291.782,,50,4,10,0.000001,20,2021
qxqm42m5f9,2021-05-12 12:51:55.212167,2021-05-12 12:52:23.000000,2021-05-12 18:00:32.774443,COMPLETED,77500.754,,50,16,10,0.000001,10,2021
hz79rwj653,2021-05-12 07:37:25.078198,2021-05-12 07:37:29.000000,2021-05-12 17:58:49.449232,COMPLETED,74375.728,,50,64,10,0.00003,20,2025
qfqwi8mp9n,2021-05-12 07:16:09.981396,2021-05-12 07:16:35.000000,2021-05-12 17:58:01.309386,COMPLETED,50000.5,,25,4,5,0.00001,20,2024
pzj8qw3ivw,2021-05-12 12:34:23.130736,2021-05-12 12:34:36.000000,2021-05-12 17:49:54.129979,COMPLETED,80000.77,,50,16,5,0.000003,20,2024
gzy9zbm27z,2021-05-11 20:10:43.929687,2021-05-11 20:10:45.000000,2021-05-12 17:48:43.801740,COMPLETED,61666.63,,25,4,10,0.00001,20,2021
uk7km6kpgf,2021-05-12 07:23:12.756330,2021-05-12 07:23:27.000000,2021-05-12 17:40:36.795059,COMPLETED,82500.784,,50,64,10,0.000001,20,2023
8pr4ga2eck,2021-05-12 06:42:11.199700,2021-05-12 06:42:37.000000,2021-05-12 17:29:51.328633,COMPLETED,50000.5,,25,16,5,0.00003,20,2023
ykn6eqrhzq,2021-05-11 18:25:33.331982,2021-05-11 19:16:54.000000,2021-05-12 17:25:45.529780,COMPLETED,50000.5,,25,16,10,0.00003,20,2025
mmmyww9k7h,2021-05-12 06:06:47.505398,2021-05-12 06:07:10.000000,2021-05-12 17:13:55.531754,COMPLETED,50000.5,,25,16,5,0.00001,20,2024
