trial_id,creation_date,start_date,completion_date,state,dev_test_combo,iterations,coord_interval,influence_tuning_batch_size,influence_tuning_instance_dropout,influence_tuning_lr,seed
75hx37e29w,2021-05-12 23:47:44.065905,2021-05-12 23:47:53.000000,2021-05-13 02:51:54.279777,COMPLETED,70306.695,,25,16,0.98,0.000003,2024
7mf68idvsw,2021-05-12 19:44:09.483308,2021-05-13 02:01:30.000000,2021-05-13 02:48:58.507051,COMPLETED,61653.6164,,25,16,0.995,0.00003,2025
ddyyshvtj3,2021-05-13 01:03:28.246654,2021-05-13 01:18:54.000000,2021-05-13 02:47:15.622865,COMPLETED,62320.616,,50,64,0.98,0.00001,2023
8dihp4upw8,2021-05-13 01:11:36.970209,2021-05-13 02:19:58.000000,2021-05-13 02:46:53.653199,COMPLETED,68326.6798666667,,50,64,0.995,0.000003,2023
5qki55cdwk,2021-05-12 22:21:08.805935,2021-05-13 01:11:23.000000,2021-05-13 02:43:00.280327,COMPLETED,84700.8451333333,,50,16,0.98,0.000003,2024
4ugmkeqh5r,2021-05-12 19:44:23.562414,2021-05-13 01:52:41.000000,2021-05-13 02:41:37.016537,COMPLETED,73133.7246666667,,25,4,0.995,0.000003,2023
cwsdtzas5q,2021-05-12 23:06:54.448275,2021-05-13 02:08:22.000000,2021-05-13 02:34:35.805394,COMPLETED,69333.6912,,50,64,0.995,0.00001,2025
hg47d3q8ff,2021-05-12 22:48:11.923339,2021-05-13 01:39:31.000000,2021-05-13 02:29:41.229261,COMPLETED,79046.7820666667,,25,64,0.995,0.00001,2024
vuctbsmrf3,2021-05-12 22:52:52.198623,2021-05-13 02:01:30.000000,2021-05-13 02:27:24.111775,COMPLETED,83606.8378,,50,64,0.995,0.00003,2022
2pwhecptcv,2021-05-13 01:59:28.350364,2021-05-13 01:59:34.000000,2021-05-13 02:25:34.459297,COMPLETED,74840.7488666667,,50,16,0.995,0.00001,2025
uuvwsm3zvm,2021-05-13 01:58:17.883056,2021-05-13 01:58:27.000000,2021-05-13 02:24:45.328641,COMPLETED,65606.6588666667,,50,64,0.995,0.000003,2025
tghwnfujux,2021-05-13 01:32:37.632230,2021-05-13 01:32:59.000000,2021-05-13 02:21:03.989095,COMPLETED,73586.7381333333,,25,64,0.995,0.00003,2022
gjbqfqqaqt,2021-05-12 19:43:58.422669,2021-05-13 01:28:55.000000,2021-05-13 02:19:42.987308,COMPLETED,71033.704,,25,16,0.995,0.00001,2024
jx5nwp5zcc,2021-05-12 23:09:18.543438,2021-05-12 23:16:29.000000,2021-05-13 02:19:21.964003,COMPLETED,74640.7414666667,,25,16,0.98,0.000003,2022
w4aumw7hhz,2021-05-13 01:31:25.017583,2021-05-13 01:31:43.000000,2021-05-13 02:19:06.041894,COMPLETED,76273.7603333333,,25,4,0.995,0.000003,2022
cxvsyceh3t,2021-05-13 01:26:43.787483,2021-05-13 01:27:04.000000,2021-05-13 02:14:59.760196,COMPLETED,90326.9021333333,,25,16,0.995,0.00003,2021
phyecetkie,2021-05-12 23:15:08.265388,2021-05-12 23:15:10.000000,2021-05-13 02:09:22.752619,COMPLETED,50000.5,,25,16,0.98,0.00003,2024
acidfit8sz,2021-05-12 21:22:52.769831,2021-05-13 00:35:23.000000,2021-05-13 02:09:22.527905,COMPLETED,70500.6979333333,,50,64,0.98,0.000003,2023
bf5xu8hyd8,2021-05-12 23:15:09.044457,2021-05-12 23:15:11.000000,2021-05-13 02:08:33.730523,COMPLETED,91213.909,,25,64,0.98,0.00001,2022
wae8mr3pqi,2021-05-12 22:06:00.781557,2021-05-13 00:35:12.000000,2021-05-13 02:08:22.529309,COMPLETED,89473.89,,50,64,0.98,0.00003,2024
3x5vwgvzux,2021-05-12 19:43:55.191326,2021-05-12 23:03:34.000000,2021-05-13 02:05:37.400147,COMPLETED,72173.7213333333,,25,64,0.98,0.000003,2022
i66xw97u6k,2021-05-12 19:44:18.204275,2021-05-13 00:24:15.000000,2021-05-13 02:00:47.872544,COMPLETED,66880.6640666667,,50,64,0.98,0.00001,2025
cu58zte4rx,2021-05-12 22:59:54.862269,2021-05-12 23:00:15.000000,2021-05-13 02:00:33.610422,COMPLETED,82186.8176666667,,25,64,0.98,0.00001,2023
2eqa7c8a6k,2021-05-13 01:32:36.927488,2021-05-13 01:32:59.000000,2021-05-13 01:59:05.653046,COMPLETED,77873.7827333333,,50,64,0.995,0.000003,2021
82txfqa9zc,2021-05-12 21:32:12.964397,2021-05-13 01:28:44.000000,2021-05-13 01:58:12.421208,COMPLETED,68453.6826666667,,50,16,0.995,0.00003,2021
47u9td9gps,2021-05-12 20:55:56.209813,2021-05-13 01:07:59.000000,2021-05-13 01:55:54.716976,COMPLETED,66866.6666,,25,16,0.995,0.000003,2024
5gm3rnryxj,2021-05-13 00:57:39.504616,2021-05-13 01:28:46.000000,2021-05-13 01:55:24.321840,COMPLETED,81700.8177333333,,50,4,0.995,0.00001,2023
nbh9r7ci36,2021-05-12 19:43:55.855018,2021-05-13 01:28:38.000000,2021-05-13 01:54:35.902495,COMPLETED,75526.7445333333,,50,16,0.995,0.000003,2023
sg4ejunqbe,2021-05-12 21:57:53.194958,2021-05-13 01:02:18.000000,2021-05-13 01:51:54.670493,COMPLETED,76733.7672,,25,16,0.995,0.00003,2022
tq5as5wtda,2021-05-12 21:34:33.063378,2021-05-13 00:59:19.000000,2021-05-13 01:47:16.823350,COMPLETED,75486.7537333333,,25,4,0.995,0.000003,2025
94scgaq7ej,2021-05-13 00:13:23.901161,2021-05-13 00:13:27.000000,2021-05-13 01:41:34.766648,COMPLETED,86180.8633333333,,50,16,0.98,0.000003,2022
f8ge5tqndj,2021-05-13 00:43:41.648975,2021-05-13 00:43:45.000000,2021-05-13 01:32:16.174252,COMPLETED,68193.6792666667,,25,64,0.995,0.00001,2023
3x29mzqc9d,2021-05-12 21:11:12.525139,2021-05-12 22:25:28.000000,2021-05-13 01:32:11.158349,COMPLETED,68560.6811333333,,25,64,0.98,0.000003,2024
cnrihgmbvz,2021-05-13 00:01:41.823084,2021-05-13 00:02:06.000000,2021-05-13 01:31:35.520926,COMPLETED,70106.6994,,50,4,0.98,0.000003,2025
4xtp2mzvnf,2021-05-13 00:00:31.013190,2021-05-13 00:00:36.000000,2021-05-13 01:30:54.973396,COMPLETED,80340.8011333333,,50,4,0.98,0.00001,2021
wq9s8z94z8,2021-05-13 00:35:29.659879,2021-05-13 00:35:51.000000,2021-05-13 01:25:38.706315,COMPLETED,63940.6377333333,,25,16,0.995,0.000003,2022
jq7fusvyiy,2021-05-13 00:50:41.240677,2021-05-13 00:51:00.000000,2021-05-13 01:16:26.566400,COMPLETED,82213.8222,,50,4,0.995,0.000003,2022
vzyxj67r9v,2021-05-12 19:43:59.593188,2021-05-12 22:16:15.000000,2021-05-13 01:13:52.775378,COMPLETED,72560.7164666667,,25,64,0.98,0.00001,2024
j5xacvu76f,2021-05-12 20:24:20.952388,2021-05-13 00:44:40.000000,2021-05-13 01:11:23.250012,COMPLETED,67793.6747333333,,50,64,0.995,0.00001,2023
tqvr3thnf7,2021-05-12 23:11:38.470552,2021-05-12 23:35:28.000000,2021-05-13 01:08:45.315571,COMPLETED,86873.8706,,50,4,0.98,0.000003,2022
bx83kdv5hm,2021-05-12 23:36:06.042210,2021-05-12 23:36:11.000000,2021-05-13 01:05:22.991516,COMPLETED,78666.7854,,50,64,0.98,0.00001,2024
6xgztyqchr,2021-05-13 00:35:30.229837,2021-05-13 00:35:50.000000,2021-05-13 01:03:22.841768,COMPLETED,83646.8367333333,,50,4,0.995,0.00001,2022
z757s2fyc9,2021-05-12 19:44:16.944015,2021-05-13 00:35:18.000000,2021-05-13 01:02:18.988285,COMPLETED,82246.8223333333,,50,4,0.995,0.000003,2025
vadxcgqbdz,2021-05-12 19:44:16.301853,2021-05-13 00:35:18.000000,2021-05-13 01:01:07.455301,COMPLETED,80146.8031333333,,50,16,0.995,0.000003,2022
c28cxhsadz,2021-05-13 00:30:50.265671,2021-05-13 00:31:12.000000,2021-05-13 00:56:45.316237,COMPLETED,68840.6872666667,,50,4,0.995,0.000003,2023
cfd5ckbg3t,2021-05-13 00:02:53.735544,2021-05-13 00:03:31.000000,2021-05-13 00:51:11.853932,COMPLETED,99040.991,,25,4,0.995,0.00003,2021
