trial_id,creation_date,start_date,completion_date,state,dev_test_combo,iterations,coord_interval,influence_tuning_batch_size,influence_tuning_epochs,influence_tuning_lr,num_train_epochs,seed
k5k3sxga74,2021-05-11 03:30:46.884502,2021-05-11 12:04:09.000000,2021-05-11 12:39:17.337544,COMPLETED,81041.768,,50,4,5,0.00001,10,2025
xfjaiv2nid,2021-05-11 07:31:32.993131,2021-05-11 11:51:21.000000,2021-05-11 12:26:21.538118,COMPLETED,76250.75,,50,4,5,0.000003,10,2021
t499pf8vhd,2021-05-11 03:27:26.259143,2021-05-11 10:08:11.000000,2021-05-11 12:12:46.093816,COMPLETED,84791.856,,25,64,10,0.00003,10,2022
q5bp4j46hn,2021-05-11 03:59:36.808701,2021-05-11 07:21:36.000000,2021-05-11 12:01:43.002181,COMPLETED,78125.802,,25,16,10,0.00003,20,2025
6sreexykfv,2021-05-11 10:34:32.269630,2021-05-11 10:49:53.000000,2021-05-11 11:56:38.805082,COMPLETED,50000.5,,50,4,5,0.00003,20,2022
p3s23fwmn2,2021-05-11 03:20:43.837617,2021-05-11 09:26:37.000000,2021-05-11 11:44:44.911247,COMPLETED,53958.54,,25,16,5,0.00003,20,2021
utfu8n6yds,2021-05-11 06:47:09.933182,2021-05-11 09:26:46.000000,2021-05-11 11:42:04.699189,COMPLETED,84583.842,,25,4,5,0.00001,20,2025
dcb2gbxfs4,2021-05-11 08:03:37.821983,2021-05-11 09:26:49.000000,2021-05-11 11:41:08.475863,COMPLETED,73958.728,,25,64,5,0.000001,20,2021
papjxkm84y,2021-05-11 06:32:44.451542,2021-05-11 09:26:45.000000,2021-05-11 11:35:07.051535,COMPLETED,70208.71,,25,16,10,0.000001,10,2024
jb69957cua,2021-05-11 07:24:53.746302,2021-05-11 09:26:56.000000,2021-05-11 10:33:40.761488,COMPLETED,50000.5,,50,4,10,0.00003,10,2024
cnxdaqs75x,2021-05-11 03:52:59.564700,2021-05-11 09:16:44.000000,2021-05-11 09:54:57.705802,COMPLETED,86875.85,,50,16,5,0.00001,10,2021
t2d48kepic,2021-05-11 07:27:07.502244,2021-05-11 07:27:18.000000,2021-05-11 09:42:32.642285,COMPLETED,78125.762,,25,4,5,0.000001,20,2025
khiqdbmede,2021-05-11 00:37:04.753039,2021-05-11 05:52:51.000000,2021-05-11 08:02:57.281241,COMPLETED,80625.806,,50,4,10,0.000003,20,2022
765rz9ay6c,2021-05-11 03:25:12.034500,2021-05-11 05:22:02.000000,2021-05-11 07:31:12.063580,COMPLETED,83541.806,,25,4,10,0.00001,10,2022
ucmrkxmx9f,2021-05-10 21:41:18.475013,2021-05-11 02:53:31.000000,2021-05-11 07:26:09.526579,COMPLETED,74375.722,,25,64,10,0.000003,20,2023
7me4dpj3da,2021-05-11 05:16:11.459490,2021-05-11 05:16:50.000000,2021-05-11 07:24:29.670927,COMPLETED,50000.5,,25,4,10,0.00001,10,2025
we775yskze,2021-05-11 03:45:14.701508,2021-05-11 04:51:24.000000,2021-05-11 07:02:58.090139,COMPLETED,79583.798,,25,64,10,0.00001,10,2025
2jzzgcmrbk,2021-05-11 05:51:41.983579,2021-05-11 05:52:08.000000,2021-05-11 06:59:18.193685,COMPLETED,75000.766,,50,4,5,0.000001,20,2024
ny52twuwaa,2021-05-11 04:46:13.602197,2021-05-11 04:46:40.000000,2021-05-11 06:56:16.152761,COMPLETED,75833.762,,50,16,10,0.00001,20,2021
78mksqf8r3,2021-05-11 05:39:29.056404,2021-05-11 05:40:06.000000,2021-05-11 06:46:13.229328,COMPLETED,71250.714,,50,64,5,0.000001,20,2022
8bwfnqy2sv,2021-05-11 05:57:15.568364,2021-05-11 05:58:00.000000,2021-05-11 06:32:19.904228,COMPLETED,77916.786,,50,64,5,0.000001,10,2021
zmddwkd8w2,2021-05-11 04:51:47.118212,2021-05-11 04:52:16.000000,2021-05-11 05:56:18.621030,COMPLETED,76666.762,,25,16,5,0.000001,10,2025
sftrqtz2x6,2021-05-11 01:45:31.487140,2021-05-11 04:47:29.000000,2021-05-11 05:52:51.523872,COMPLETED,76250.752,,50,64,10,0.000001,10,2023
edzbqq2jvw,2021-05-11 05:16:10.752424,2021-05-11 05:16:42.000000,2021-05-11 05:51:24.782791,COMPLETED,86041.854,,50,4,5,0.00003,10,2023
44j9wvkaz5,2021-05-11 04:31:44.272859,2021-05-11 04:32:09.000000,2021-05-11 05:38:40.886126,COMPLETED,73958.74,,50,16,5,0.000001,20,2024
qmwnvty5zd,2021-05-11 04:41:43.336892,2021-05-11 04:41:50.000000,2021-05-11 05:15:36.110150,COMPLETED,74791.746,,50,16,5,0.000003,10,2021
yhdkjuwhsz,2021-05-11 04:10:42.658500,2021-05-11 04:10:49.000000,2021-05-11 05:15:06.092350,COMPLETED,50000.5,,50,16,5,0.00003,20,2022
8v3g2u5rmi,2021-05-11 01:26:33.467030,2021-05-11 03:02:29.000000,2021-05-11 05:12:22.756495,COMPLETED,50000.5,,50,4,10,0.00003,20,2023
whvysdwhsf,2021-05-11 00:26:57.908079,2021-05-11 02:55:10.000000,2021-05-11 05:04:57.586886,COMPLETED,63958.63,,25,4,10,0.00001,10,2021
xmfm78rdv4,2021-05-11 03:07:25.995580,2021-05-11 03:44:19.000000,2021-05-11 04:51:24.580743,COMPLETED,73125.732,,50,16,5,0.000001,20,2022
swgbtt6wkf,2021-05-11 01:33:46.061433,2021-05-11 03:35:37.000000,2021-05-11 04:45:18.584453,COMPLETED,78333.77,,50,64,5,0.00003,20,2024
betqfaa8dx,2021-05-11 03:25:12.646337,2021-05-11 03:35:51.000000,2021-05-11 04:41:07.500844,COMPLETED,79166.776,,50,16,5,0.00001,20,2023
tv63bttj6p,2021-05-11 03:04:06.123222,2021-05-11 03:26:24.000000,2021-05-11 04:31:32.151694,COMPLETED,80208.796,,25,64,5,0.000003,10,2024
mj7tmxxs47,2021-05-11 03:02:58.009596,2021-05-11 03:03:29.000000,2021-05-11 04:10:12.016310,COMPLETED,77291.758,,25,4,5,0.000003,10,2021
s8945cwd4s,2021-05-10 23:24:40.164892,2021-05-10 23:24:43.000000,2021-05-11 04:02:00.327561,COMPLETED,80625.776,,25,64,10,0.00001,20,2021
d22exdm2s7,2021-05-11 00:16:19.069318,2021-05-11 01:44:27.000000,2021-05-11 03:59:00.772295,COMPLETED,75208.756,,25,16,10,0.000001,10,2025
rbivzcu2qg,2021-05-10 23:17:06.544904,2021-05-10 23:22:38.000000,2021-05-11 03:52:24.565091,COMPLETED,79791.782,,25,16,10,0.00001,20,2023
ezuxxxyc5x,2021-05-11 01:19:11.999687,2021-05-11 01:33:19.000000,2021-05-11 03:49:02.918370,COMPLETED,74375.752,,25,4,5,0.000003,20,2023
xyex6dubis,2021-05-10 23:19:04.873207,2021-05-10 23:19:14.000000,2021-05-11 03:44:19.518005,COMPLETED,84166.826,,25,16,10,0.00001,20,2022
32pyig37qx,2021-05-11 00:39:00.463822,2021-05-11 01:22:26.000000,2021-05-11 03:30:14.100051,COMPLETED,77083.784,,25,64,10,0.00001,10,2021
g6dh2wevkk,2021-05-10 22:42:27.967469,2021-05-10 22:45:25.000000,2021-05-11 03:27:11.248225,COMPLETED,74583.752,,25,4,10,0.000001,20,2024
pa2ukrc6xm,2021-05-10 22:54:45.627615,2021-05-10 22:55:35.000000,2021-05-11 03:24:40.743910,COMPLETED,76250.75,,25,64,10,0.000001,20,2022
b3yt4puaf8,2021-05-11 01:06:21.885972,2021-05-11 01:06:47.000000,2021-05-11 03:24:26.434395,COMPLETED,77708.772,,25,4,5,0.000001,20,2024
y2zn9te5a2,2021-05-11 00:22:10.480428,2021-05-11 02:15:57.000000,2021-05-11 03:20:16.420813,COMPLETED,75416.738,,25,64,5,0.000003,10,2022
txshtd3x2a,2021-05-11 01:37:06.580298,2021-05-11 02:31:58.000000,2021-05-11 03:06:26.116312,COMPLETED,79166.796,,50,64,5,0.00003,10,2023
xh2twxeeu9,2021-05-11 01:06:21.229206,2021-05-11 01:54:23.000000,2021-05-11 03:03:04.743974,COMPLETED,83333.832,,50,4,5,0.00001,20,2021
nbhm6hb4ie,2021-05-11 00:35:15.958431,2021-05-11 00:46:08.000000,2021-05-11 03:02:28.236456,COMPLETED,77291.79,,25,4,5,0.000003,20,2024
2km89pwxr5,2021-05-11 01:38:13.642860,2021-05-11 01:46:38.000000,2021-05-11 02:55:36.708485,COMPLETED,50208.506,,50,16,10,0.00001,10,2024
2my7f7ncjd,2021-05-10 22:36:52.823386,2021-05-10 23:23:45.000000,2021-05-11 01:49:11.576267,COMPLETED,75000.74,,25,64,5,0.000001,20,2024
7ywtzpa8aq,2021-05-10 23:35:25.411901,2021-05-10 23:35:31.000000,2021-05-11 01:45:23.716213,COMPLETED,75416.74,,50,4,10,0.000001,20,2025
znamn659p5,2021-05-11 00:23:25.589163,2021-05-11 00:25:02.000000,2021-05-11 01:37:29.207692,COMPLETED,75000.75,,50,16,5,0.00001,20,2024
udacepebiv,2021-05-10 22:11:41.025825,2021-05-10 23:23:41.000000,2021-05-11 01:36:30.031589,COMPLETED,84791.832,,50,16,10,0.00003,20,2025
kejwjd9vgj,2021-05-10 23:17:07.114630,2021-05-10 23:22:24.000000,2021-05-11 01:33:18.075173,COMPLETED,80416.774,,25,16,10,0.000001,10,2022
nhyirubw5p,2021-05-10 21:04:13.068428,2021-05-10 21:04:19.000000,2021-05-11 01:31:29.991701,COMPLETED,75000.762,,25,64,10,0.00001,20,2022
nkintu5the,2021-05-10 23:10:28.992198,2021-05-10 23:10:42.000000,2021-05-11 01:25:18.362650,COMPLETED,84375.814,,25,4,10,0.00001,10,2023
5s5mu8gm88,2021-05-10 23:05:49.594635,2021-05-10 23:09:55.000000,2021-05-11 01:18:21.993573,COMPLETED,73541.73,,25,64,10,0.000001,10,2021
if5wgwqh8y,2021-05-10 23:54:28.100194,2021-05-10 23:55:18.000000,2021-05-11 01:05:10.456489,COMPLETED,83541.854,,50,4,10,0.00001,10,2024
b8e4ezd4qe,2021-05-10 23:51:48.611677,2021-05-10 23:54:33.000000,2021-05-11 01:04:55.098687,COMPLETED,76875.758,,50,64,5,0.000001,20,2023
5tbmuyyv2r,2021-05-10 22:13:55.438152,2021-05-10 22:18:19.000000,2021-05-11 00:36:31.641736,COMPLETED,82708.818,,25,16,5,0.00001,20,2021
cq3qvuqbvs,2021-05-10 22:24:23.622657,2021-05-10 23:23:42.000000,2021-05-11 00:37:02.427309,COMPLETED,79791.768,,25,16,5,0.000003,10,2021
