trial_id,creation_date,start_date,completion_date,state,dev_test_combo,iterations,coord_interval,influence_tuning_batch_size,influence_tuning_instance_dropout,influence_tuning_lr,seed
ci42w3dit6,2021-05-13 03:39:02.359259,2021-05-13 03:39:04.000000,2021-05-13 03:58:02.732888,COMPLETED,87093.8716,,25,4,0.995,0.00003,2022
s6cdpxjttn,2021-05-13 03:36:44.368097,2021-05-13 03:37:05.000000,2021-05-13 03:55:11.554725,COMPLETED,75046.7518,,25,16,0.995,0.000003,2022
43j9ixnd3v,2021-05-13 03:43:34.632419,2021-05-13 03:43:49.000000,2021-05-13 03:54:47.337440,COMPLETED,86186.8628666667,,50,4,0.995,0.000003,2022
7c5fd295nw,2021-05-13 02:50:32.337985,2021-05-13 02:50:47.000000,2021-05-13 03:52:57.079030,COMPLETED,50000.5,,25,16,0.98,0.00003,2024
33vj4tqxsj,2021-05-13 02:54:01.843721,2021-05-13 02:54:20.000000,2021-05-13 03:52:16.822043,COMPLETED,65533.6522666667,,25,16,0.98,0.000003,2024
wpsbhg6iut,2021-05-13 03:36:45.274478,2021-05-13 03:37:10.000000,2021-05-13 03:48:22.494950,COMPLETED,90766.9049333333,,50,4,0.995,0.00001,2022
zvuijzwxmw,2021-05-13 02:48:14.662257,2021-05-13 02:48:29.000000,2021-05-13 03:46:42.048843,COMPLETED,66933.6655333333,,25,64,0.98,0.00001,2022
tgy2cdxmdg,2021-05-13 02:44:52.069719,2021-05-13 02:44:54.000000,2021-05-13 03:43:02.752891,COMPLETED,88513.8829333333,,25,16,0.98,0.000003,2022
b3xh5t6bax,2021-05-13 03:09:53.481954,2021-05-13 03:09:55.000000,2021-05-13 03:42:39.588197,COMPLETED,75040.7521333333,,50,4,0.98,0.000003,2025
rwyzhwkfjq,2021-05-13 03:28:59.271248,2021-05-13 03:29:13.000000,2021-05-13 03:40:37.863895,COMPLETED,76946.7564,,50,4,0.995,0.000003,2023
2s7niujbbc,2021-05-13 02:40:27.467979,2021-05-13 02:40:31.000000,2021-05-13 03:40:07.169427,COMPLETED,87540.8706666667,,25,16,0.98,0.000003,2023
zdjmsvmpdt,2021-05-13 02:39:20.510036,2021-05-13 02:39:31.000000,2021-05-13 03:38:34.261159,COMPLETED,69726.6943333333,,25,16,0.98,0.000003,2021
7854mfjq4q,2021-05-13 02:38:12.159703,2021-05-13 02:38:16.000000,2021-05-13 03:36:57.622011,COMPLETED,94760.9504,,25,64,0.98,0.00003,2021
42yeq5tgwy,2021-05-13 02:35:57.343730,2021-05-13 02:36:04.000000,2021-05-13 03:35:46.388624,COMPLETED,65640.6533333333,,25,64,0.98,0.00001,2023
d594bnfwex,2021-05-13 02:37:03.777501,2021-05-13 02:37:15.000000,2021-05-13 03:35:42.247571,COMPLETED,75920.7583333333,,25,64,0.98,0.00003,2025
gjyk86gqyz,2021-05-13 03:14:20.966185,2021-05-13 03:14:25.000000,2021-05-13 03:33:03.620287,COMPLETED,68973.6811333333,,25,16,0.995,0.00001,2023
uciia7p73j,2021-05-13 02:57:27.659160,2021-05-13 02:57:44.000000,2021-05-13 03:29:37.892562,COMPLETED,69873.6942,,50,4,0.98,0.00001,2021
rundrumqbs,2021-05-13 02:29:22.029151,2021-05-13 02:29:33.000000,2021-05-13 03:28:55.893309,COMPLETED,66913.6596666667,,25,64,0.98,0.000003,2023
bgaau38bp7,2021-05-13 03:09:52.672887,2021-05-13 03:09:58.000000,2021-05-13 03:27:46.340830,COMPLETED,91593.9168,,25,4,0.995,0.00003,2021
escyyy84sr,2021-05-13 03:15:29.683753,2021-05-13 03:15:45.000000,2021-05-13 03:27:02.637971,COMPLETED,66866.6654666667,,50,4,0.995,0.00001,2024
vafkesxyx3,2021-05-13 02:27:07.135138,2021-05-13 02:27:08.000000,2021-05-13 03:25:38.664496,COMPLETED,73573.7354666667,,25,4,0.98,0.00001,2022
zfvbdsgyb3,2021-05-13 02:52:48.090523,2021-05-13 02:53:05.000000,2021-05-13 03:25:33.464315,COMPLETED,69260.6866,,50,64,0.98,0.00001,2024
aiawnsqxid,2021-05-13 02:48:15.366194,2021-05-13 02:48:33.000000,2021-05-13 03:22:06.796135,COMPLETED,81473.8158666667,,50,4,0.98,0.000003,2022
zfn79bxhkm,2021-05-13 02:56:20.012898,2021-05-13 02:56:31.000000,2021-05-13 03:15:03.785796,COMPLETED,99026.9908666667,,25,4,0.995,0.00003,2023
2h2zz6n6h8,2021-05-13 00:58:55.174974,2021-05-13 02:13:44.000000,2021-05-13 03:13:14.541752,COMPLETED,67820.6723333333,,25,64,0.98,0.000003,2024
bk6k4varzc,2021-05-13 02:57:26.681409,2021-05-13 02:57:34.000000,2021-05-13 03:08:52.402793,COMPLETED,72006.7192,,50,16,0.995,0.00001,2021
9xn979rnk2,2021-05-13 02:37:04.928552,2021-05-13 02:37:15.000000,2021-05-13 03:08:53.446273,COMPLETED,99560.9958,,50,16,0.98,0.00003,2024
tyava8ebur,2021-05-13 02:38:13.035801,2021-05-13 02:38:16.000000,2021-05-13 02:56:48.441448,COMPLETED,64086.6391333333,,25,16,0.995,0.000003,2025
2aup7f2pns,2021-05-13 02:24:53.059750,2021-05-13 02:25:23.000000,2021-05-13 02:56:39.698223,COMPLETED,82186.8201333333,,50,4,0.98,0.00001,2022
cxcnwkasz8,2021-05-13 02:41:34.080671,2021-05-13 02:41:46.000000,2021-05-13 02:52:52.012063,COMPLETED,87400.8744666667,,50,16,0.995,0.00003,2023
586ncu46xm,2021-05-13 02:20:28.862764,2021-05-13 02:20:37.000000,2021-05-13 02:51:55.823661,COMPLETED,84993.8460666667,,50,64,0.98,0.00003,2025
h2778bf5vz,2021-05-13 02:18:15.672633,2021-05-13 02:18:25.000000,2021-05-13 02:55:48.000532,COMPLETED,79900.803,,50,16,0.98,0.000003,2021
m5b7kavhgt,2021-05-13 02:38:11.539355,2021-05-13 02:38:16.000000,2021-05-13 02:49:40.794502,COMPLETED,82426.8283333333,,50,64,0.995,0.00001,2025
ew3qrif2w5,2021-05-13 02:29:21.410386,2021-05-13 02:29:32.000000,2021-05-13 02:47:47.382843,COMPLETED,73260.739,,25,4,0.995,0.00001,2025
5p9sirwhh4,2021-05-13 02:13:50.953695,2021-05-13 02:13:52.000000,2021-05-13 02:47:20.568632,COMPLETED,73373.7316666667,,50,4,0.98,0.00001,2024
iq8h4ivnbp,2021-05-13 02:25:59.896305,2021-05-13 02:26:17.000000,2021-05-13 02:44:17.682200,COMPLETED,66260.6574666667,,25,64,0.995,0.00001,2024
7tbbxp4ysc,2021-05-13 01:42:58.301357,2021-05-13 01:43:08.000000,2021-05-13 02:40:37.938898,COMPLETED,66926.6578666667,,25,16,0.98,0.00001,2022
w9dyqgir2g,2021-05-13 02:28:14.658414,2021-05-13 02:28:18.000000,2021-05-13 02:39:46.382902,COMPLETED,76540.7651333333,,50,64,0.995,0.00003,2022
esej4kcp74,2021-05-13 02:07:14.341699,2021-05-13 02:07:15.000000,2021-05-13 02:38:47.864163,COMPLETED,68653.6807333333,,50,16,0.98,0.000003,2024
szwudcmdh4,2021-05-13 02:26:00.563426,2021-05-13 02:26:17.000000,2021-05-13 02:37:44.637304,COMPLETED,68820.6816,,50,4,0.995,0.000003,2024
32a232ka3m,2021-05-13 02:06:07.755913,2021-05-13 02:06:16.000000,2021-05-13 02:37:42.530177,COMPLETED,96900.9644,,50,16,0.98,0.00003,2023
r2hm863agb,2021-05-13 01:02:14.445522,2021-05-13 02:19:21.000000,2021-05-13 02:37:32.608719,COMPLETED,79046.7862666667,,25,64,0.995,0.00003,2023
xcyhnmy7w5,2021-05-13 02:24:52.387914,2021-05-13 02:25:22.000000,2021-05-13 02:36:45.699872,COMPLETED,72053.7251333333,,50,16,0.995,0.00003,2025
mgtgy6vw7t,2021-05-12 21:25:49.942703,2021-05-13 02:25:15.000000,2021-05-13 02:36:19.657320,COMPLETED,79093.7914666667,,50,16,0.995,0.000003,2022
5bcb3tq76r,2021-05-13 02:01:43.922830,2021-05-13 02:01:54.000000,2021-05-13 02:35:25.995344,COMPLETED,81540.8135333333,,50,64,0.98,0.00003,2024
qhm8kn55zg,2021-05-12 20:24:03.605579,2021-05-13 01:57:45.000000,2021-05-13 02:29:08.505237,COMPLETED,75580.7496,,50,64,0.98,0.00001,2021
c8wi7xkag3,2021-05-12 23:09:30.964508,2021-05-13 01:28:54.000000,2021-05-13 02:29:09.408715,COMPLETED,69066.6863333333,,25,64,0.98,0.00001,2021
mr5s8k4w2d,2021-05-13 00:53:23.462815,2021-05-13 02:15:55.000000,2021-05-13 02:27:09.527236,COMPLETED,69093.6878,,50,64,0.995,0.00001,2024
rkq4gb4g9f,2021-05-13 01:26:26.249713,2021-05-13 01:27:01.000000,2021-05-13 02:26:23.834261,COMPLETED,92886.9254666667,,25,4,0.98,0.00003,2023
ufu7pjt8w5,2021-05-13 00:41:15.626860,2021-05-13 02:14:33.000000,2021-05-13 02:25:35.113406,COMPLETED,69366.6868,,50,16,0.995,0.00001,2024
yjxuih8pjy,2021-05-13 00:23:35.159887,2021-05-13 01:28:49.000000,2021-05-13 02:25:15.451746,COMPLETED,74193.7399333333,,25,64,0.98,0.000003,2025
rie8c6ki2r,2021-05-13 01:52:53.988523,2021-05-13 01:53:11.000000,2021-05-13 02:24:30.028275,COMPLETED,79820.7989333333,,50,64,0.98,0.000003,2022
e63bkt9j72,2021-05-13 00:16:57.613988,2021-05-13 02:05:08.000000,2021-05-13 02:23:52.267311,COMPLETED,74133.7378,,25,16,0.995,0.000003,2023
gukzyy4j5w,2021-05-13 02:08:21.457194,2021-05-13 02:08:29.000000,2021-05-13 02:19:40.928518,COMPLETED,88180.8821333333,,50,4,0.995,0.00003,2021
vrdvr65xpv,2021-05-13 01:59:31.090658,2021-05-13 01:59:34.000000,2021-05-13 02:17:30.759453,COMPLETED,68453.6797333333,,25,16,0.995,0.00003,2022
fbktrux423,2021-05-13 02:00:37.494837,2021-05-13 02:01:01.000000,2021-05-13 02:13:00.959142,COMPLETED,67500.6732,,50,4,0.995,0.00003,2025
jm4tte4zem,2021-05-13 01:48:30.924532,2021-05-13 01:48:57.000000,2021-05-13 02:07:13.116258,COMPLETED,71333.7188666667,,25,4,0.995,0.000003,2025
rnv6n8eygz,2021-05-13 01:00:01.846158,2021-05-13 01:55:24.000000,2021-05-13 02:07:09.656427,COMPLETED,95140.9482,,50,4,0.995,0.00003,2024
ejkxbb268d,2021-05-13 01:29:47.022524,2021-05-13 01:29:51.000000,2021-05-13 02:05:37.810590,COMPLETED,65793.6500666667,,50,64,0.98,0.000003,2023
dcbxe2m43y,2021-05-13 00:37:55.003969,2021-05-13 01:50:16.000000,2021-05-13 02:01:30.863129,COMPLETED,74140.7354,,50,16,0.995,0.00003,2024
ieqjca27re,2021-05-13 01:48:29.854595,2021-05-13 01:48:47.000000,2021-05-13 02:00:29.481082,COMPLETED,73526.7311333333,,50,16,0.995,0.000003,2021
2mvtj8d8he,2021-05-13 01:47:23.533982,2021-05-13 01:47:31.000000,2021-05-13 01:58:30.555911,COMPLETED,69053.688,,50,64,0.995,0.000003,2024
3b2uhvb374,2021-05-12 19:47:41.509638,2021-05-13 00:53:57.000000,2021-05-13 01:52:42.211547,COMPLETED,66600.6628,,25,4,0.98,0.000003,2021
uzr4hpm9eb,2021-05-13 00:47:52.283564,2021-05-13 00:48:13.000000,2021-05-13 01:47:55.627431,COMPLETED,72640.724,,25,4,0.98,0.000003,2024
3dpstz8wf8,2021-05-12 19:47:33.154515,2021-05-13 01:28:46.000000,2021-05-13 01:47:22.175259,COMPLETED,68593.685,,25,4,0.995,0.000003,2023
k8crqajdbx,2021-05-13 00:37:55.799162,2021-05-13 01:15:35.000000,2021-05-13 01:46:32.467936,COMPLETED,92653.9254666667,,50,64,0.98,0.00003,2022
v6wxhcqx9u,2021-05-13 01:30:53.717617,2021-05-13 01:31:02.000000,2021-05-13 01:42:21.849994,COMPLETED,73633.7264,,50,16,0.995,0.00003,2021
degc3256fu,2021-05-13 00:54:29.721968,2021-05-13 01:12:06.000000,2021-05-13 01:30:06.764527,COMPLETED,68633.6815333333,,25,64,0.995,0.000003,2024
4chscrhm8z,2021-05-13 00:31:19.646705,2021-05-13 00:31:43.000000,2021-05-13 01:29:19.375147,COMPLETED,83406.8318,,25,16,0.98,0.00001,2025
amnpqturp9,2021-05-13 00:50:04.725858,2021-05-13 00:50:22.000000,2021-05-13 01:25:38.191427,COMPLETED,99960.9993333333,,50,4,0.98,0.00003,2021
bz6xdaj5vv,2021-05-13 00:43:28.637080,2021-05-13 00:43:45.000000,2021-05-13 01:02:05.413437,COMPLETED,63800.6316666667,,25,16,0.995,0.000003,2024
c9ua8v3s52,2021-05-13 00:28:00.135856,2021-05-13 00:28:08.000000,2021-05-13 00:59:05.112079,COMPLETED,82760.828,,50,4,0.98,0.00001,2023
i8t3rnqdmv,2021-05-12 23:59:16.350704,2021-05-12 23:59:24.000000,2021-05-13 00:58:16.873272,COMPLETED,66606.6631333333,,25,64,0.98,0.000003,2022
e8icdqpqwr,2021-05-12 23:09:31.694167,2021-05-13 00:35:10.000000,2021-05-13 00:53:35.531800,COMPLETED,73940.7448,,25,64,0.995,0.00001,2025
bcbygc2dq2,2021-05-12 19:47:31.391132,2021-05-13 00:41:22.000000,2021-05-13 00:52:48.411468,COMPLETED,64873.6405333333,,50,16,0.995,0.00001,2023
ucbabsw3vw,2021-05-12 19:47:34.551284,2021-05-13 00:30:45.000000,2021-05-13 00:49:05.479537,COMPLETED,69640.6959333333,,25,16,0.995,0.000003,2021
6vw3hfy79t,2021-05-12 23:44:55.122721,2021-05-12 23:45:09.000000,2021-05-13 00:46:45.190119,COMPLETED,69393.6834666667,,25,64,0.98,0.00001,2024
tx7vwfu6f8,2021-05-13 00:10:19.834901,2021-05-13 00:10:35.000000,2021-05-13 00:43:01.494779,COMPLETED,79186.7944666667,,50,16,0.98,0.00001,2022
w85iwbmkf2,2021-05-13 00:29:06.849502,2021-05-13 00:29:40.000000,2021-05-13 00:41:04.978421,COMPLETED,67000.6690666667,,50,64,0.995,0.00001,2023
7m24iyzthm,2021-05-13 00:05:53.703698,2021-05-13 00:05:55.000000,2021-05-13 00:37:45.215006,COMPLETED,87146.8700666667,,50,16,0.98,0.00003,2021
